age,education,default,housing,loan,campaign,emp.var.rate
48,basic.6y,unknown,yes,no,2,-1.8
52,professional.course,no,yes,yes,1,-0.1
48,university.degree,unknown,yes,no,2,1.4
22,high.school,no,yes,no,2,1.4
45,basic.9y,no,unknown,unknown,1,1.1
50,illiterate,no,yes,no,2,1.4
41,basic.6y,unknown,yes,yes,4,1.8
39,basic.9y,no,no,no,2,1.1
25,high.school,unknown,yes,yes,6,-0.1
38,university.degree,no,no,no,2,2
52,basic.4y,unknown,yes,no,3,1.1
32,university.degree,no,no,unknown,1,-0.8
33,professional.course,no,unknown,no,1,-1.1
31,university.degree,no,yes,no,1,-2.3
62,illiterate,no,yes,unknown,1,-1.1
62,unknown,yes,yes,no,1,2.1
62,university.degree,no,no,no,2,-1.1
37,illiterate,no,yes,unknown,1,-2
73,high.school,no,yes,no,1,1.7
44,professional.course,yes,no,no,1,-1.1